THEM,YOU,CLAUSE,LABEL,PARTY,
AHS,Supplier," In conjunction with electronic commerce, SUPPLIER shall provide one hundred percent (100%) confirmation via the 855 electric transaction set or other methods acceptable to AHS for all AHS Purchase Orders. ",R,Y,
AHS,Supplier," In the event that SUPPLIER fails to be credentialed by Credentialing Contractor, AHS may immediately terminate this Agreement.",T,T,
AHS,Supplier,"  (Conceptual: If the supplier’s product offering does not maintain it’s market competitiveness in terms of pricing, value, technology, and/or effectiveness, AHS has the right to terminate contract. ",T,T,
GEC,Seller,"CHANGES - GEC shall have the right at any time to make changes to Seller's work within the Scope of Work described in any particular Purchase Order provided that GEC gives reasonable advance notice to Seller, and Seller agrees to comply with such changes. ",-,,right
GEC,Seller,"If such changes cause a material increase or decrease in Seller’s costs or time of performance of this Purchase Order, Seller shall notify GEC immediately and negotiate an adjustment. ",R,Y,conditional
GEC,Seller,Seller shall perform all Services with due diligence upon receipt of a Purchase Order from GEC duly executed by both Seller and GEC.,R,Y,
GEC,Seller,Seller shall keep GEC reasonably advised of the progress of Seller performance of the Services. ,R,Y,
GEC,Seller,"GEC shall provide Seller with written notice of delay, including therein a description of the delay and the steps contemplated or actually taken by GEC to mitigate the effect of such delay. ",R,T,
GEC,Seller,"RIGHT OF INSPECTION AND REJECTION - Material and equipment supplied by Seller shall be received subject to GECs inspection and approval within a reasonable time after delivery, notwithstanding prior payment. ",-,,
GEC,Seller,"Seller shall furnish personnel with the training, experience and physical ability, as well as adequate supervision, required to perform the Services in accordance with the preceding standards and the other requirements of the Purchase Orders. ",R,Y,
GEC,Seller,"In addition to all other rights and remedies which GEC may have, GEC shall have the right to require, and Seller shall be obligated at its own expense to perform, all further services which may be required to correct any deficiencies which result from Seller’s failure to perform any Services in accordance with the standards required by the applicable Purchase Order. ",R,Y,***
GEC,Seller,"Moreover, if, during the term of the Purchase Order, any equipment, goods or other materials or Services used or provided by Seller under the Purchase Order fail due to defects in material and/or workmanship or other breach of the Purchase Order, Seller shall, upon any reasonable notice from GEC, replace, repair, re-conduct or re-perform the same to GEC's satisfaction. ",R,Y,conditional
GEC,Seller,"Seller shall be solely responsible for the safe transportation and packing in proper containers and storage of any equipment required for performing the Services, whether owned, leased or rented.",R,Y,
GEC,Seller,"GEC will not be responsible for any such equipment which is lost, stolen or damaged or for any additional rental charges for such equipment. ",R,T,no-responsibility
GEC,Seller,Any transportation furnished by GEC shall be solely as an accommodation and GEC shall have no liability therefore. ,L,T,no-liability
GEC,Seller,GEC acknowledges and agrees that it shall assume the risk and is solely responsible for its use of any GEC-owned equipment and property provided by GEC for the performance of Services. ,R,T,
GEC,Seller,GEC shall have no liability to Seller therefore. ,L,T,no-liability
GEC,Seller,Unless otherwise specified in the Purchase Order GEC shall pay Seller's undisputed invoices within thirty days (30) of receipt of such invoices. ,R,T,
GEC,Seller,"Seller shall use the lowest published freight rates and any excess transportation charges incurred, including any that deviate from the published tariff rates, are to be borne by the Seller.",R,Y,
GEC,Seller,"DOCUMENT - The parties hereto agree that GEC shall turn over to Seller all Project Information, including all copies thereof, when and as requested during the term of the Purchase Order and when the Services under all Purchase Orders have been completed. ",R,T,
GEC,Seller,"PATENT INDEMNITY -- Seller agrees to indemnify, save harmless and defend GEC from and against any and all suits, claims, damages, costs, and attorney's fees arising out of or in connection with any infringement or claimed infringement of any United States or Canadian patent, trademark or copyright in the manufacture, use or sale of the equipment, services or materials furnished under this Purchase Order.",L,Y,
GEC,Seller,"In case said equipment, service or material is in such suit, or in final adjudication elsewhere, held to constitute infringement, and the use thereof is enjoined, Seller shall, at its own expense, either procure for GEC the right to continue using said equipment, service or material, or at the option of GEC either replace same with equally efficient non-infringing equipment, services or material, or modify it without impairing its efficiency so it becomes non-infringing, or at Seller’s expense remove said equipment, services or material and refund the purchase price and the transportation and installation costs thereof.",R,Y,
GEC,Seller,"INDEMNITY AND INSURANCE - Seller shall defend, indemnify and hold harmless GEC from any claims, suits, judgments, fees and costs (including attorney's fees) based on or arising out of the Seller’s products, services and/or the resale or use of the products purchased hereunder including death, personal injury, or damage to property. ",L,Y,
GEC,Seller,SAFETY AND HEALTH PROGRAMS - Seller will be responsible for acquiring job hazard assessments as necessary to safely perform all duties hereunder and provide a copy to Seller upon request. ,R,Y,
GEC,Seller,Seller will be responsible for providing employee health and safety training and personal protective equipment in accordance with potential hazards that may be encountered by Seller's personnel in performance of the Services and provide copies of the certified training records upon request by GEC. ,R,Y,
GEC,Seller,Seller shall be responsible for proper maintenance and/or disposal of its personal protective equipment and material handling equipment. ,R,Y,
GEC,Seller,Seller shall immediately report any injuries to the GEC or its site safety representative. ,R,Y,
GEC,Seller,Seller shall take all reasonable steps and precautions to protect the health of their employees and other site personnel with regard to their,R,Y,
GEC,Seller,Seller shall conduct occupational health monitoring and/or sampling to determine levels of exposure of its employees to hazardous or toxic substances or environmental conditions. ,R,Y,
GEC,Seller,Seller shall develop a plan to properly handle and dispose of all hazardous wastes they generate within the Scope of Work. ,R,Y,
GEC,Seller,"Seller shall advise its employees and subcontractors that any employee, who jeopardizes his/her safety and health, or the safety and health of others, may be subject to actions including removal from Services hereunder.",R,Y,
GEC,Seller,"TERMINATION -- GEC, by written notice, may terminate this order, in whole or in part. ",T,T,
GEC,Seller,"In the event this Purchase Order is terminated as a result of Seller's default, the Seller shall be liable for all damages allowed in law or equity, including the excess cost of reprocuring similar items. ",L,Y,
GEC,Seller,"Unless otherwise stated in writing and included as part of the Purchase Order, if this Purchase Order is terminated for the convenience of GEC, Seller will be compensated, to the extent that items have been accepted by GEC, prior to the effective date of termination. ",-,,right
GEC,Seller,"Other than to this extent, GEC shall not be liable to Seller for any damages on account of its failure to accept all of the items ordered.",L,T,no-liability
GEC,Seller,"CONSEQUENTIAL DAMAGES - In no event shall GEC be liable for any special, incidental, indirect, punitive or consequential damages, including loss of profits or loss of use of any property..",L,T,no-liability
GEC,Seller,"In accordance with the requirements of the ASME Code, accumulated pressure shall be limited to 121 % of the MAWP in vessels that are protected by pressure-relief devices sized for fire contingencies.",-,,
GEC,Seller,"In general, equipment shall be protected against high pressure due to fire under the following conditions:",-,,
Seller,Buyer,Seller shall have the right to ship any portion of the Goods on the dates specified. ,-,,right
Seller,Buyer,"Buyer must examine and accept shipment within five (5) business days, or ""acceptance"" shall be deemed to have occurred. ",R,Y,
Seller,Buyer,"In case of concealed damage, Buyer must immediately notify the delivery carrier agent in writing, requesting an investigation, thus making a proper record of the facts, then file a damage claim against the delivering company. ",R,Y,
Seller,Buyer,"SELLER SHALL NOT UNDER ANY CIRCUMSTANCE BE RESPONSIBLE FOR ANY LOSS OR DAMAGE, INDIRECT, SPECIAL, EXEMPLARY, PUNITIVE, CONSEQUENTIAL OR OTHERWISE (INCLUDING, BUT NOT LIMITED TO, LOSS OF REVENUE, PROFIT OR USE OR COST OF CAPITAL OR OF SUBSTITUTE USE OR PERFORMANCE) ARISING OUT OF THE TRANSACTIONS CONTEMPLATED HEREUNDER. ",R,T,no-responsibility
Seller,Buyer,"ANY ACTION ARISING OUT OF OR RELATED TO THIS AGREEMENT AGAINST SELLER MUST BE COMMENCED WITHIN ONE (1) YEAR FROM THE DATE THE RIGHT, CLAIM, DEMAND OR CAUSE OF ACTION SHALL FIRST OCCUR, OR BE BARRED FOREVER. ",R,B,Conditional Responsibility
Seller,Buyer,"Unless written provision is made in this Agreement, there is no charge for this service and Seller assumes no liability whatsoever in respect thereof.",L,T,no-liability
Seller,Buyer,Seller assumes no responsibility for any damages related to this information.,R,T,no-responsibility
Seller,Buyer,"Buyer shall indemnify, defend and hold Seller harmless from and against all claims, damages, losses, judgments, fees, expenses and costs, including attorneys' fees, as incurred, arising out of or resulting from Buyer's designs and specifications, integration and assembly, or in any way related to its acts, negligence, breach of this Agreement.",L,Y,
Seller,Buyer,"At Seller's expense, Buyer shall take all actions, sign all documents and make all filings necessary to vest in Seller such ownership. ",R,Y,
Seller,Buyer,"In the event applicable law prohibits an assignment or transfer of Developments from Buyer to Seller, Buyer shall grant Seller a perpetual, world-wide, exclusive license to use the Developments for any and all purposes. ",R,Y,
Seller,Buyer,"Specifically, in addition to such remedies as may be available at law or under this Agreement, Seller shall have the right, without posting of bond or other security, to an injunction, both temporary and permanent, specific performance and/or other equitable relief. ",-,,right
Seller,Buyer,"In the event any action or proceeding shall be instituted by Seller to enforce this Section, Buyer shall waive and not assert any claim or defense that an adequate remedy at law exists.",-,,
Seller,Buyer,"If any government body or similar authority determines that Seller is liable for any taxes, then Buyer shall promptly reimburse Seller for any such liabilities paid by Seller. ",R,Y,
Seller,Buyer,Buyer shall provide and pay for all required permits and licenses.,R,Y,
Seller,Buyer,"At all times, Seller shall have the right to pursue equitable remedies, collection actions and enforcement of judgments against Buyer in any court of competent jurisdiction.",-,,right
Seller,Buyer,"FORCE MAJEURE: Seller shall not be liable for delay in performance or for non-performance caused by circumstances beyond its control including, but not limited to, acts of God, fire, flood, accident, riot, war, sabotage, strike, labor trouble, terrorism, commercial infeasibility, shortage of materials, or action by any foreign or domestic government; in the event of such delay or nonperformance, Seller shall be relieved of all obligations hereunder.",L,T,no-liability
Seller,Buyer,"Buyer must consider all hazard considerations such as, but not limited to, electric area classification, hazards associated with processing the specified material or specific safety standards applicable to the installation site. ",R,Y,
Seller,Buyer,"Buyer may not assign its rights or obligations under this Agreement in any way, including by operation of law, merger or sales of assets, without the prior written consent of Seller. ",-,,
Seller,Buyer,"(d) Buyer shall perform its obligations under this Agreement in full compliance with all relevant laws, rules and regulations applicable in connection with the sale, shipment or use of the Goods, including but not limited to the U.S. ",R,Y,
Seller,Buyer,"(f) Neither Seller nor Buyer shall directly or indirectly induce any employee or agent of the other party to leave the employ of the other, without the other party's prior written consent. ",R,B,
Seller,Buyer,"(h) Buyer shall pay all of Seller's costs and expenses, including reasonable attorneys' fees and accountants' fees, incurred in enforcing this Agreement or obtaining damages. ",R,Y,
Seller,Buyer,"(h) Buyer shall pay all of Seller's costs and expenses, including reasonable attorneys' fees and accountants' fees, incurred in enforcing this Agreement or obtaining damages. ",L,Y,
Company,Contractor,"If Company rejects any Deliverable during the Acceptance Period, Company may elect any of the following remedies (without limiting any other rights or remedies Company may have): (a) Company may grant additional time to Contractor to provide (at no additional charge to Company) corrected Deliverables subject to evaluation and acceptance in accordance with this Section, and make a reasonable reduction in the fees to reflect the delay in performance; (b) Company may itself correct the Deliverables (or engage a third party to do so) and deduct the costs and reasonable expenses associated with such correction from the fees owed to Contractor under the Statement of Work; or (c) Company may terminate the Statement of Work and return all Deliverables (but not Confidential Information therein) to Contractor, in which case Contractor will refund to Company any and all fees previously paid to Contractor under the Statement of Work.",T,T,
Company,Contractor," Company will have at least thirty (30) days (or such time period as set forth in the applicable Statement of Work) to evaluate any interim and final Deliverables (the “Acceptance Period”) to ensure that they meet the specifications, requirements, and terms of this Agreement and are of professional, technical, and general quality consistent with industry standards.",-,,
Company,Contractor,"If Contractor begins to adhere to a Change Proposal or does not reject the Change Proposal in writing within five (5) days after its receipt thereof, Contractor will be deemed to have accepted such Change Proposal.",R,Y,conditional
Company,Contractor," Upon the receipt of a proposal from Company to change the terms of a Statement of Work (a “Change Proposal”), Contractor will promptly provide (a) any information requested in such proposal, and (b) its written acceptance or rejection of the proposal.",R,Y,conditional
Company,Contractor,"If Contractor uses Company’s equipment or facilities, regardless of whether Company grants permission to Contractor to do so, Contractor will be solely responsible for any injury or death suffered by any person (including Contractor’s employees and agents) and any damage to any property (including Company’s property) arising from such use, regardless of whether such injury, death, or damage is claimed to be based upon the condition of such equipment or facilities or upon Company’s negligence in permitting such use.",R,Y,conditional
Company,Contractor,"Contractor will provide, at its own expense, a place of work and all equipment, tools, and other materials necessary to complete the Statement of Work; however, to the extent necessary to facilitate performance of the Services and for no other purpose, Company may, in its discretion, make its equipment or facilities available to Contractor at Contractor’s request.",R,Y,
Company,Contractor,Contractor will perform the Services in accordance with the terms of this Agreement and the applicable Statement of Work.,R,Y,
Company,Contractor,"If applicable, Company will report the fees paid to Contractor under this Agreement by filing Form 1099-MISC with the Internal Revenue Service as required by law.",R,T,
Company,Contractor," Contractor is solely responsible for filing all tax returns and submitting all payments as required by any federal, state, local, or foreign tax authority arising from the payment of fees to Contractor under this Agreement, and agrees to do so in a timely manner.",R,Y,
Company,Contractor,"Because Contractor is an independent contractor, Company will not withhold or make payments for social security, make unemployment insurance or disability insurance contributions, or obtain workers’ compensation insurance on behalf of Contractor or any of its employees or agents.",R,T,no-responsibility
Company,Contractor," If Company exercises options (b) or (c) above, Company may terminate the applicable Statement of Work and/or this Agreement.",T,T,
Company,Contractor,"Contractor will use its best efforts to facilitate any such monitoring, including providing access to Contractor’s employees, agents, equipment, and facilities.",R,Y,
Company,Contractor, Contractor will cooperate with any requests by Company to monitor the Services in order to verify that such Services are being performed in accordance with this Agreement and in a timely and satisfactory manner.,R,Y,
Company,Contractor,"If Company provides such consent, then before allowing any subcontractor to begin performing services, Contractor will enter into a binding written agreement with such subcontractor that protects Company’s rights and interests to at least the same degree as this Agreement, including Sections 5 through 8.",R,Y,conditional
Company,Contractor,Company will have no obligation to pay any subcontractor.,R,T,no-responsibility
Company,Contractor," Contractor agrees that (a) during the term of this Agreement, it will not perform, or agree to perform, any services for any third party that directly competes with any business or activity of Company (a “Company Competitor”), and (b) for a period of twelve (12) months after the termination of this Agreement, Contractor will ensure that no employee or subcontractor of Contractor who performed services for Company is allowed to perform services for a Company Competitor.",R,Y,
Company,Contractor,"During the term of this Agreement and for twelve (12) months thereafter, Contractor will not directly or indirectly solicit, induce, or attempt to induce any employee or independent contractor to terminate or breach any employment, contractual, or other relationship with Company, provided that nothing shall prohibit Contractor from (a) the placement of a general employment advertisement (e.g., in newspapers, trade magazines or web sites), or (b) responding to a contact that is initiated by an employee of the other party seeking employment.",R,Y,
Company,Contractor, Company will reimburse Contractor for any reasonable and previously-approved out-of-pocket expenses that are incurred by Contractor or any of its employees or agents in performing the Services (the “Expenses”) on the condition that Contractor complies with Company’s then-current policy for the submission and verification of such expenses.,R,T,
Owner,Tenant,"If Tenant desires to place equipment on the Site in addition to that listed on Exhibit B, Owner and Tenant will negotiate the placement of the additional equipment through an amendment mutually agreed upon by both parties and the associated rent increase at rates consistent with what Owner charges Tenant and other tenants prior to Tenant’s installation of its additional equipment.",R,B,conditional
Owner,Tenant,Tenant will use the Site in a manner which will not unreasonably disturb the occupancy of Owner’s other existing occupants or tenants.,R,Y,
Owner,Tenant,"Owner represents and agrees (a) that it is in possession of the Site as lessee under a ground lease (“Ground Lease”); (b) that if applicable, upon request from Tenant, Owner will provide to Tenant a copy of the Ground Lease with financial and other confidential terms redacted; (c) that it has the right to enter into this Agreement; (d) that the person signing this Agreement has the authority to sign; (e) that it will comply with its covenants and obligations under the Ground Lease and keep the Ground Lease in good standing; (f) that its own expense it will operate and maintain the Site (including the Tower and all owned equipment on the Site), in a good worker-like manner and for the intended use in accordance with sound engineering standards and (g) that Tenant is entitled to the quiet possession of the Site subject to zoning and other requirements imposed by governmental authorities, any registered easements, restrictions, or encumbrances of record prior to the Initial Term so long as Tenant is not in default beyond the expiration of any cure period.",R,T,
Owner,Tenant,"Notwithstanding anything to the contrary contained in this Agreement, if the Site is subject to a Ground Lease, either party may terminate this Agreement without further liability upon the termination or expiration of Owner’s right to possession of the Site under the Ground Lease provided Owner will not do, attempt, permit or suffer anything to be done which could be construed to be a violation of the Ground Lease.",T,B,
Owner,Tenant,"Promptly after this Agreement is fully executed, if requested by Tenant, Owner will request the holder of any such mortgage or deed of trust to execute a non-disturbance agreement in a form provided by Tenant, and Owner will cooperate with Tenant at Tenant’s sole expense toward such an end to the extent that such cooperation does not cause Owner additional financial liability.",R,T,conditional
Owner,Tenant,"Tenant will not, directly or indirectly, on behalf of itself or any third party, communicate, negotiate, and/or contract with the lessor of the Ground Lease, unless Owner’s rights under the Ground Lease have been terminated.",R,Y,Absolute Respon
Owner,Tenant,"Tenant may not assign or transfer this Agreement without the prior written consent of Owner, which consent will not be unreasonably withheld, delayed or conditioned.",-,,limitation of right
Owner,Tenant,"For any transfer or assignment under this section, within twenty (20) business days prior to any such transfer or assignment, Tenant must provide Owner with written adoption, ratification and assumption of this Agreement from the transferee, assignee, or successor of Tenant.",R,Y,
Owner,Tenant,"For purposes of this paragraph, a controlling ownership interest is one in which the entity owning the interest (i) owns at least a fifty-one percent (51%) ownership interests in Tenant and (ii) has the power, directly or indirectly, to direct or cause the direction of the management and policies of Tenant, whether by contract or otherwise;",-,,
Owner,Tenant,"Notwithstanding any such transfer or assignment under this section, Tenant shall nonetheless remain obligated for all financial obligations of Tenant under this Agreement for the remainder of the term as renewed or extended hereunder.",R,Y,no-responsibility
Owner,Tenant,"In the case of an assignment requiring the consent of Owner, Tenant will, in no event be relieved of any obligations or liability hereunder ",L,Y,****
Owner,Tenant,Tenant will have the reasonable right of access to the Tower where its Equipment is located; provided that Tenant must give Owner forty-eight (48) hours prior notice.,-,,right
Owner,Tenant,Tenant will have unrestricted access twenty-four (24) hours a day seven (7) days a week to its Pad or Shelter.,-,,right
Owner,Tenant, Owner does not warrant nor represent that the access road to the property will remain open and passable at all times and seasons of the year due to weather conditions that are beyond the Owner’s reasonable control.,L,T,no-liability
Owner,Tenant,"Prior to installing or allowing any Equipment to be installed at the Site or making any changes, modifications or alterations to such Equipment, Tenant (or its contractors) may access the Site for the purpose of satisfying itself, at its own expense, as to the appropriate conditions for the intended use of the Site, provided the Tenant shall repair any damage caused by any tests or inspections.",-,,right
Owner,Tenant,"Upon termination or expiration of this Agreement, Tenant shall remove its Equipment and improvements and will restore the Site to the condition existing on the Commencement Date, except for ordinary wear and tear and insured casualty loss within ninety (90) days.",R,Y,conditional
Owner,Tenant,"If Tenant abandons the Site and Tenant’s Equipment remains on the Site after 30 days from the termination or expiration date (even if it has been disconnected), Tenant will pay to Owner a hold-over fee equal to one hundred fifty percent (150%) of the then-effective monthly Rent, prorated from the effective date of termination to the date the Equipment is removed from the Site.",L,Y,conditional
Owner,Tenant,Owner will have the right (but not the obligation) to disconnect and remove the abandoned Equipment from the Site.,-,,right
Owner,Tenant,"If, after the termination date, Owner disconnects and removes the abandoned Equipment, Tenant will pay to Owner upon demand one hundred fifty percent (150%) of the disconnection, removal and storage expenses incurred by or on behalf of Owner.",L,Y,conditional
Owner,Tenant,"If, after the termination date, Owner disconnects and removes the abandoned Equipment, Tenant will pay to Owner upon demand one hundred fifty percent (150%) of the disconnection, removal and storage expenses incurred by or on behalf of Owner.",R,Y,conditional
Owner,Tenant,"Upon written notice by Owner to Tenant not less than five (5) business days beforehand, unless such notice can not reasonably be provided in which event Owner will give Tenant the earliest possible reasonable notice, Tenant will cooperate with Owner in rescheduling its transmitting activities, reducing power, or interrupting its activities for limited periods of time in the event of an emergency or in order to permit the safe installation of new equipment or new facilities at the Site or to permit repair to facilities of any user of the Site or to the related facilities.",R,Y,conditional
Owner,Tenant,The Owner will use commercially reasonable efforts to minimize the impact on the Tenant and its use of the Site.,R,T,
Owner,Tenant,Tenant will substantially comply with all applicable laws relating to its possession and use of the Site and its Equipment.,R,Y,
Owner,Tenant,"Upon request by Owner, Tenant will produce satisfactory evidence that all Equipment installed at the Site complies with all applicable regulations pertaining to radio-frequency radiation standards and is licensed with all applicable governmental authorities, including Industry Canada.",R,Y,conditional
Owner,Tenant,Owner shall be solely responsible for reporting any lighting outages or malfunctions to the appropriate governmental authorities.,L,T,
Owner,Tenant,Owner shall be solely responsible for reporting any lighting outages or malfunctions to the appropriate governmental authorities.,R,T,
Owner,Tenant," If Tenant installs a temporary generator as described above or contracts with Owner to place a permanent generator at the Site, (i) Owner and Tenant acknowledge that Tenant must comply with all applicable laws and regulations concerning the installation, operation, maintenance and removal of Tenant’s generator and/or back up power supply including but not limited to obtaining any and all necessary government approvals and permits, and (ii) Tenant agrees to indemnify, defend and hold harmless Owner for any and all costs, claims, administrative orders, causes of action, fines and penalties which arise out of the installation, operation, maintenance and removal of the generator and or back up power supply used solely by Tenant, and (iii) Upon request of Owner, Tenant agrees to provide Owner with all relevant information concerning the Tenant’s generator and/or back up power supply necessary for Owner to comply with any reporting obligations for which Owner may be responsible.",L,Y,conditional
Owner,Tenant," If Tenant installs a temporary generator as described above or contracts with Owner to place a permanent generator at the Site, (i) Owner and Tenant acknowledge that Tenant must comply with all applicable laws and regulations concerning the installation, operation, maintenance and removal of Tenant’s generator and/or back up power supply including but not limited to obtaining any and all necessary government approvals and permits, and (ii) Tenant agrees to indemnify, defend and hold harmless Owner for any and all costs, claims, administrative orders, causes of action, fines and penalties which arise out of the installation, operation, maintenance and removal of the generator and or back up power supply used solely by Tenant, and (iii) Upon request of Owner, Tenant agrees to provide Owner with all relevant information concerning the Tenant’s generator and/or back up power supply necessary for Owner to comply with any reporting obligations for which Owner may be responsible.",R,Y,
Owner,Tenant,"Tenant will procure and maintain a public liability policy, with limits of not less than $1,000,000 for bodily injury, $1,000,000 for property damage, $2,000,000 aggregate, which minimum Owner may require adjusting at each renewal term, with a certificate of insurance to be furnished to Owner within thirty (30) days of execution of this Agreement and prior to performing any work.",R,Y,
Owner,Tenant,Tenant will cause Owner to be named as an additional insured on such policy. ,R,Y,
Owner,Tenant,"Tenant shall not cause, by its transmitter or other activities, including the addition of any equipment at a future date, interference to Owner or other tenants that have previously commenced rental payments.",R,Y,
Owner,Tenant,Tenant shall provide Owner with a list of frequencies to be used at the Site prior to putting said frequencies into operation.,R,Y,
Owner,Tenant,"If interference cannot be corrected within sixty (60) calendar days from Tenant’s receipt of Owner’s notice, then Owner may terminate this Agreement without further obligations to Tenant.",T,T,
Owner,Tenant,"Further, if Owner determines that another tenant at the Site is causing interference to Tenant and the interference is not corrected within sixty (60) days from Owner’s determination and such interference precludes Tenant from using the Site for its intended purpose, Tenant may terminate this Agreement, Owner will require substantially similar interference language as outlined in this paragraph in all future Tenant Agreements related to this Site.",T,Y,
Owner,Tenant,Tenant will pay for all utilities used by it at the Site and Tenant will install its own electric meter. ,R,Y,
Owner,Tenant,Tenant will be responsible directly to the appropriate utility companies for all utilities required for Tenant’s use of the Site.,R,Y,
Owner,Tenant,"If any of Tenant’s communications Equipment fails because of loss of any electrical power, and the restoration of the electrical power is within the reasonable control of Owner, Owner will use reasonable diligence to restore the electrical power promptly, but will have no claim for damages on account of an interruption in electrical service occasioned thereby or resulting therefrom. ",R,T,
Owner,Tenant,Owner will exercise its relocation right by delivering written notice to Tenant.,R,T,
Owner,Tenant,"In the notice, Owner will propose an alternate site on Owner’s property to which Tenant may relocate its Equipment, which alternate site will be comparable with regard to technical and height characteristics for the Tenant’s purposes.",R,T,
Owner,Tenant,"If none of the Relocation Sites are acceptable to Tenant, Tenant may terminate this Agreement. ",T,Y,conditional
Owner,Tenant," Tenant may terminate this Agreement at any time by notice to Owner without further liability if (i) through no fault of the Owner, Owner fails to have proper possession of the Site or authority to enter into this Agreement; or (ii) Tenant does not obtain, after making diligent efforts, all permits or other approvals (collectively, “approval”) required from any governmental authority or any easements required from any third party to operate the telecommunications system facility, or if any such approval is canceled, expires, is withdrawn or terminated by such governmental authority or third party following Tenant’s diligent efforts to maintain such approval; or (iii) after five (5) years , Tenant may terminate this Agreement with one (1) year prior written notice if the Site becomes commercially impractical for Tenant.",T,Y,conditional
Owner,Tenant,Owner will be responsible for any pre-existing contamination of the Site which was directly attributable to Owner’s actions. ,L,T,
Owner,Tenant,"Tenant or Owner will not introduce or use any such substance on the Site, or permit any discharge or release of such substance on the Site in violation of any applicable Environmental Law. ",R,B,
Owner,Tenant,"Except for its own acts of negligence or intentional misconduct, Owner will have no liability for any loss or damage due to personal injury or death or property damage.",L,T,no-liability
Owner,Tenant," Notwithstanding anything to the contrary contained in this Agreement, except for the willful misconduct of a party, neither party will be liable to the other with respect to any subject matter of this Agreement under any contract, negligence, tort, strict liability, or other legal or equitable theory for any indirect, incidental, consequential, special, or exemplary damages (including, without limitation, loss of goodwill or actual or anticipated revenue, profits or lost business, but excluding obligations for Rent as contained in this Agreement), even if a party has been advised of the possibility of such damages.",L,B,no-liability
Owner,Tenant,"Tenant or Owner will not introduce or use any such substance on the Site, or permit any discharge or release of such substance on the Site in violation of any applicable Environmental Law. ",R,B,
Owner,Tenant,"Tenant will not permit any mechanics, materialman’s, construction or other liens to stand against the Site for any labor or material furnished by Tenant in connection with work of any character performed on the Site by or at the direction of the Tenant.",R,Y,
Owner,Tenant,"In the event that any notice of lien will be filed or given, Tenant will, within thirty (30) days after the date of filing cause the same to be released or discharged by either payment, deposit, or bond.",R,Y,conditional
Owner,Tenant,"Owner will be indemnified by Tenant from and against any losses, damages, costs, expenses, fees or penalties suffered or incurred by Owner on account of the filing of the claim or lien. ",L,Y,***
Owner,Tenant,"In the event of any damage, destruction or condemnation or expropriation of the Site, or any part thereof, not caused by Tenant that renders the Site unusable or inoperable, Owner will have the right, but not the obligation, to provide an alternate location, whether on the same Site or another Site, or to terminate this Agreement within thirty (30) days after the damage, destruction, condemnation or expropriation.",-,,right
Owner,Tenant,If Owner does not terminate this Agreement: (i) the Rent payable hereunder will be reduced or abated in proportion to the actual reduction or abatement of use of the Site by Tenant; and (ii) Owner will make any necessary repairs to the Site caused by the damage or destruction and will be entitled to use any and all insurance proceeds to pay for any repairs.,R,T,conditional
Owner,Tenant,"Owner will in no event be liable to Tenant for any damage to or loss of Tenant’s Equipment, or loss or damage sustained by reason of any business interruption suffered by reason of any condemnation or expropriation, act of God, by Tenant’s act or omission, or Tenant’s violation of any of the terms, covenants or conditions of this Agreement, (unless caused solely by Owner’s intentional misconduct or gross negligence).",L,T,no-liability
Owner,Tenant,"To the extent possible, Owner will cooperate with Tenant in Tenant’s implementation of its emergency responses as the same may exist from time to time.",R,T,
Owner,Tenant, Tenant has the right to terminate if the new structure does not meet their requirements.,T,Y,
Owner,Tenant,"Tenant and Owner will not disclose the terms and conditions of this Agreement with third parties; provided, however, that notwithstanding the foregoing, Owner and/or Tenant may provide a copy of this Agreement or discuss any of the terms and conditions hereof to Owner and/or Tenant’s directors, legal or financial advisors, auditors and investors, regulatory and other governmental authorities, lenders and ground lessors.",R,B,
Owner,Tenant,"(c) Subject to the provisions of the Ground Lease, Tenant shall have the right, at its expense, to register a short form, summary, caveat, notice or memorandums as applicable of this Agreement (“Notice”) on title to the Site, including the term and any options to renew, but excluding any financial information.",-,,right
Owner,Tenant,"If approved, Owner will execute or cause to be executed documents required to register the Notice",R,T,
Owner,Tenant,"Tenant will, at its expense, remove such registration upon termination of this Agreement or earlier to the extent required by the terms of the Ground Lease.",R,Y,
Owner,Tenant,"(h) Tenant agrees and acknowledges that, in conjunction with other entities which may transmit from the Site, if necessary due to applicable RF emission standards and upon reasonable notice, Tenant shall reduce power or terminate station operations to prevent possible overexposure of worker to RF radiation. ",R,Y,conditional
Owner,Tenant,"Prior to installation, Tenant must provide Owner with complete plans for approval, including list of proposed Equipment and subcontractors.",R,Y,
Owner,Tenant,"All Equipment must be placed in approved locations only, and Owner must approve any changes before the installation begins, Tenant must notify Owner for approval of any significant changes to the equipment referenced including, but not limited to, any addition or change in operating frequency(s), change in transmitter power levels or addition or removal of equipment.",R,Y,*
Owner,Tenant,"All Equipment must be placed in approved locations only, and Owner must approve any changes before the installation begins, Tenant must notify Owner for approval of any significant changes to the equipment referenced including, but not limited to, any addition or change in operating frequency(s), change in transmitter power levels or addition or removal of equipment.",R,T,*
Owner,Tenant,Tenant will provide individual Transient (SAD) surge protection to each circuit used.,R,Y,
Owner,Tenant,Tenant must comply with any applicable instructions regarding any Site security system. ,R,Y,
